State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
TX	Reeves	4	32,623	32.2	13783
TX	Sterling	0	49,064	12.4	1143
TX	McMullen	0	44,541	11.9	707
TX	Johnson	62	52,360	12.8	150934
TX	Hopkins	75	40,446	18	35161
TX	Menard	0	30,277	24	2242
TX	Stonewall	1	36,687	17.2	1490
TX	Baylor	0	32,111	19.3	3726
TX	Archer	1	51,895	11.1	9054
TX	Concho	3	33,711	28.4	4087
TX	Clay	1	47,434	12.5	10752
TX	Cooke	8	45,428	15.1	38437
TX	Comal	87	61,573	11.9	108472
TX	Webb	45	34,878	31.5	250304
TX	Winkler	6	45,237	16.4	7110
TX	Madison	11	35,189	23.3	13664
TX	Taylor	411	41,558	17.9	131506
TX	Van Zandt	23	41,476	16.8	52579
TX	Hartley	0	57,589	11.9	6062
TX	Briscoe	1	35,931	16.4	1637
TX	Collingsworth	1	32,949	18.9	3057
TX	Bosque	5	40,732	17.5	18212
TX	Travis	10316	51,905	18.8	1024266
TX	Refugio	0	39,582	17.8	7383
TX	Cameron	89	31,624	35.8	406220
TX	Nueces	749	41,899	20	340223
TX	Dawson	1	33,938	25.7	13833
TX	Hidalgo	105	33,070	33.4	774769
TX	Gillespie	6	47,216	12.1	24837
TX	Lamb	1	34,251	21.6	13977
TX	Bexar	10163	47,724	17	1714773
TX	McCulloch	2	32,469	22.2	8283
TX	Midland	78	53,482	14.4	136872
TX	Blanco	2	46,981	12.7	10497
TX	Cherokee	12	34,910	24.7	50845
TX	Collin	859	77,862	7.7	782341
TX	Waller	254	46,313	20.4	43205
TX	Young	0	40,490	17.6	18550
TX	Red River	8	32,128	19.2	12860
TX	Dallas	6081	46,909	19	2368139
TX	Guadalupe	18	58,799	11.4	131533
TX	McLennan	115	39,620	21.3	234906
TX	Brooks	0	26,027	33	7223
TX	Starr	3	24,497	39.2	60968
TX	Shelby	11	34,490	21.9	25448
TX	Dallam	0	37,454	15.1	6703
TX	Tom Green	79	39,004	19.2	110224
TX	Fisher	21	35,794	14.6	3974
TX	Frio	1	30,820	35.3	17217
TX	Hamilton	18	38,179	16.2	8517
TX	Gregg	49	41,623	20.5	121730
TX	Pecos	1	39,118	22.1	15507
TX	Ochiltree	0	50,979	12.7	10223
TX	Fayette	7	45,123	13	24554
TX	Medina	8	47,099	17.5	46006
TX	Wharton	5	36,097	19.1	41280
TX	San Saba	6	34,264	21	6131
TX	Zavala	1	22,948	36.9	11677
TX	Garza	6	38,400	27.4	6461
TX	Delta	0	36,193	17.7	5231
TX	Kenedy	0	33,502	12.5	416
TX	Jim Wells	29	36,404	21.6	40838
TX	Kinney	1	35,725	24.7	3598
TX	Kendall	7	68,301	10	33410
TX	Eastland	14	32,913	22.4	18583
TX	Jack	1	41,510	15.5	9044
TX	King	0	48,003	12.5	286
TX	Hutchinson	5	46,035	13.4	22150
TX	Jim Hogg	1	34,077	24.8	5300
TX	Bee	3	36,462	27.3	31861
TX	Lavaca	2	39,468	14.5	19263
TX	Somervell	15	49,582	10.7	8490
TX	Franklin	67	40,579	15.9	10605
TX	Gaines	0	39,111	18.8	17526
TX	Walker	15	37,160	25.9	67861
TX	Terrell	0	35,683	15.2	984
TX	Austin	4	50,154	12.5	28417
TX	Carson	0	51,311	8.4	6182
TX	Llano	5	40,102	15.8	19301
