Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Bell County,TX,"49,338",13.2,48,027,"35,399","45,231",11.6,14.8,"17,646","15,200","20,092",20.2,17.4,23.0,"10,663","8,853","12,473",18.0,14.9,21.1,"47,494","51,182"
Bexar County,TX,"47,724",17.0,48,029,"269,191","302,443",16.0,18.0,"113,149","104,692","121,606",24.6,22.8,26.4,"76,845","70,474","83,216",23.2,21.3,25.1,"46,537","48,911"
Blanco County,TX,"46,981",12.7,48,031,"1,036","1,610",9.9,15.5,456,349,563,20.0,15.3,24.7,314,238,390,18.3,13.9,22.7,"43,155","50,807"
Borden County,TX,"47,938",11.9,48,033,59,95,9.1,14.7,22,17,27,15.5,11.8,19.2,16,12,20,14.8,11.3,18.3,"43,244","52,632"
Bosque County,TX,"40,732",17.5,48,035,"2,556","3,690",14.3,20.7,"1,129",886,"1,372",27.4,21.5,33.3,771,607,935,24.8,19.5,30.1,"37,533","43,931"
Bowie County,TX,"42,272",18.7,48,037,"13,403","19,003",15.5,21.9,"6,155","4,936","7,374",27.8,22.3,33.3,"4,087","3,240","4,934",25.2,20.0,30.4,"38,742","45,802"
Brazoria County,TX,"64,242",12.1,48,039,"31,761","41,857",10.4,13.8,"13,120","10,624","15,616",15.3,12.4,18.2,"9,271","7,552","10,990",15.1,12.3,17.9,"61,206","67,278"
Brazos County,TX,"37,468",30.8,48,041,"53,005","59,045",29.1,32.5,"10,257","8,713","11,801",26.0,22.1,29.9,"6,279","5,117","7,441",23.4,19.1,27.7,"35,050","39,886"
Brewster County,TX,"37,200",14.7,48,043,"1,026","1,686",11.1,18.3,439,333,545,23.3,17.7,28.9,295,224,366,22.1,16.8,27.4,"34,024","40,376"
Briscoe County,TX,"35,931",16.4,48,045,210,322,12.9,19.9,101,77,125,28.6,21.8,35.4,69,53,85,27.1,20.6,33.6,"32,516","39,346"
Brooks County,TX,"26,027",33.0,48,047,"1,805","2,901",25.3,40.7,984,748,"1,220",49.5,37.6,61.4,675,511,839,48.9,37.0,60.8,"23,501","28,553"
Brown County,TX,"37,512",18.8,48,049,"5,556","8,146",15.2,22.4,"2,503","1,951","3,055",28.5,22.2,34.8,"1,589","1,212","1,966",24.8,18.9,30.7,"34,543","40,481"
Burleson County,TX,"41,273",15.2,48,051,"1,944","3,218",11.4,19.0,990,747,"1,233",24.9,18.8,31.0,680,517,843,23.4,17.8,29.0,"37,425","45,121"
Burnet County,TX,"49,195",14.6,48,053,"4,868","7,294",11.7,17.5,"2,397","1,867","2,927",24.4,19.0,29.8,"1,630","1,279","1,981",22.3,17.5,27.1,"45,489","52,901"
Caldwell County,TX,"41,749",17.3,48,055,"4,985","7,599",13.7,20.9,"2,498","1,912","3,084",25.7,19.7,31.7,"1,726","1,329","2,123",25.1,19.3,30.9,"38,548","44,950"
Calhoun County,TX,"42,745",19.4,48,057,"3,331","4,853",15.8,23.0,"1,712","1,390","2,034",30.7,24.9,36.5,"1,071",849,"1,293",26.4,20.9,31.9,"39,358","46,132"
Callahan County,TX,"40,614",15.4,48,059,"1,617","2,505",12.1,18.7,784,605,963,24.9,19.2,30.6,525,400,650,22.0,16.8,27.2,"37,058","44,170"
Cameron County,TX,"31,624",35.8,48,061,"135,693","153,185",33.6,38.0,"64,535","60,377","68,693",48.5,45.4,51.6,"43,629","40,395","46,863",44.9,41.6,48.2,"30,149","33,099"
Camp County,TX,"37,704",21.3,48,063,"2,092","3,152",17.0,25.6,"1,109",872,"1,346",33.7,26.5,40.9,752,591,913,31.2,24.5,37.9,"34,718","40,690"
Carson County,TX,"51,311",8.4,48,065,398,630,6.5,10.3,165,126,204,10.6,8.1,13.1,111,84,138,9.2,7.0,11.4,"46,450","56,172"
Cass County,TX,"34,556",20.4,48,067,"5,104","7,154",17.0,23.8,"2,239","1,834","2,644",32.4,26.5,38.3,"1,456","1,174","1,738",28.2,22.7,33.7,"32,204","36,908"
Castro County,TX,"35,973",20.2,48,069,"1,264","1,974",15.8,24.6,745,574,916,29.9,23.0,36.8,501,384,618,27.7,21.2,34.2,"32,670","39,276"
Chambers County,TX,"69,491",10.6,48,071,"3,023","4,411",8.6,12.6,"1,418","1,112","1,724",14.2,11.1,17.3,967,756,"1,178",12.9,10.1,15.7,"63,552","75,430"
Cherokee County,TX,"34,910",24.7,48,073,"9,986","13,712",20.8,28.6,"4,605","3,730","5,480",35.4,28.7,42.1,"3,076","2,484","3,668",32.7,26.4,39.0,"32,078","37,742"
Childress County,TX,"35,171",22.8,48,075,974,"1,588",17.3,28.3,486,370,602,32.8,25.0,40.6,322,246,398,30.6,23.3,37.9,"31,933","38,409"
Clay County,TX,"47,434",12.5,48,077,"1,025","1,623",9.7,15.3,438,337,539,18.3,14.1,22.5,301,232,370,16.7,12.9,20.5,"43,287","51,581"
Cochran County,TX,"35,496",20.5,48,079,481,781,15.6,25.4,294,223,365,33.8,25.6,42.0,199,151,247,31.6,24.0,39.2,"32,147","38,845"
Coke County,TX,"35,754",13.2,48,081,329,533,10.1,16.3,154,118,190,22.4,17.1,27.7,105,80,130,20.0,15.2,24.8,"32,321","39,187"
Coleman County,TX,"30,637",21.1,48,083,"1,416","2,306",16.0,26.2,697,531,863,36.0,27.4,44.6,474,362,586,33.2,25.3,41.1,"27,848","33,426"
Collin County,TX,"77,862",7.7,48,085,"53,904","66,770",6.9,8.5,"21,450","18,371","24,529",9.6,8.2,11.0,"13,593","11,342","15,844",8.2,6.8,9.6,"75,384","80,340"
Collingsworth County,TX,"32,949",18.9,48,087,432,704,14.4,23.4,258,195,321,31.2,23.6,38.8,175,133,217,30.1,22.8,37.4,"29,788","36,110"
Colorado County,TX,"41,395",17.3,48,089,"2,827","4,261",13.8,20.8,"1,349","1,069","1,629",27.6,21.9,33.3,879,684,"1,074",24.6,19.1,30.1,"38,131","44,659"
Comal County,TX,"61,573",11.9,48,091,"11,035","14,723",10.2,13.6,"4,217","3,382","5,052",16.5,13.2,19.8,"2,739","2,142","3,336",14.2,11.1,17.3,"58,248","64,898"
Comanche County,TX,"34,878",20.7,48,093,"2,264","3,440",16.4,25.0,990,755,"1,225",30.1,23.0,37.2,669,511,827,28.2,21.6,34.8,"31,780","37,976"
Concho County,TX,"33,711",28.4,48,095,538,870,21.7,35.1,181,139,223,32.2,24.8,39.6,124,95,153,30.6,23.4,37.8,"30,406","37,016"
Cooke County,TX,"45,428",15.1,48,097,"4,511","6,873",12.0,18.2,"2,308","1,779","2,837",24.4,18.8,30.0,"1,524","1,169","1,879",22.5,17.3,27.7,"41,387","49,469"
Coryell County,TX,"45,431",12.4,48,099,"6,230","9,730",9.7,15.1,"3,195","2,451","3,939",15.4,11.8,19.0,"2,126","1,646","2,606",15.1,11.7,18.5,"41,793","49,069"
Cottle County,TX,"31,892",20.4,48,101,233,379,15.5,25.3,114,87,141,32.9,25.0,40.8,77,59,95,28.2,21.4,35.0,"28,816","34,968"
Crane County,TX,"50,356",9.9,48,103,321,531,7.5,12.3,196,148,244,15.3,11.6,19.0,136,103,169,14.3,10.8,17.8,"45,821","54,891"
Crockett County,TX,"42,329",15.8,48,105,446,706,12.3,19.3,249,193,305,25.3,19.7,30.9,162,124,200,23.2,17.8,28.6,"38,194","46,464"
Crosby County,TX,"33,332",27.1,48,107,"1,296","1,942",21.7,32.5,686,535,837,40.0,31.2,48.8,463,359,567,38.1,29.5,46.7,"30,355","36,309"
Culberson County,TX,"30,666",26.2,48,109,486,764,20.4,32.0,260,198,322,39.3,29.9,48.7,174,132,216,35.7,27.2,44.2,"27,684","33,648"
Dallam County,TX,"37,454",15.1,48,111,786,"1,230",11.8,18.4,450,346,554,22.5,17.3,27.7,299,230,368,21.8,16.8,26.8,"33,803","41,105"
Dallas County,TX,"46,909",19.0,48,113,"426,116","466,816",18.1,19.9,"190,014","179,705","200,323",29.3,27.7,30.9,"131,029","123,804","138,254",28.7,27.1,30.3,"46,174","47,644"
Dawson County,TX,"33,938",25.7,48,115,"2,400","3,616",20.5,30.9,"1,185",926,"1,444",35.5,27.7,43.3,829,650,"1,008",35.9,28.2,43.6,"30,767","37,109"
Deaf Smith County,TX,"36,638",20.6,48,117,"3,123","4,777",16.3,24.9,"1,870","1,456","2,284",30.4,23.7,37.1,"1,277","1,000","1,554",29.6,23.2,36.0,"33,759","39,517"
Delta County,TX,"36,193",17.7,48,119,698,"1,132",13.5,21.9,327,248,406,27.8,21.0,34.6,223,169,277,26.1,19.8,32.4,"32,746","39,640"
Denton County,TX,"68,671",8.1,48,121,"47,586","59,328",7.2,9.0,"17,060","14,030","20,090",9.4,7.7,11.1,"11,661","9,607","13,715",8.9,7.3,10.5,"65,922","71,420"
DeWitt County,TX,"36,611",21.3,48,123,"3,063","4,707",16.8,25.8,"1,414","1,123","1,705",32.3,25.6,39.0,963,768,"1,158",30.6,24.4,36.8,"33,167","40,055"
Dickens County,TX,"32,669",21.4,48,125,345,567,16.2,26.6,148,112,184,30.5,23.2,37.8,98,75,121,27.7,21.1,34.3,"29,551","35,787"
Dimmit County,TX,"29,685",31.0,48,127,"2,354","3,798",23.7,38.3,"1,323","1,007","1,639",44.8,34.1,55.5,889,675,"1,103",41.3,31.4,51.2,"26,925","32,445"
Donley County,TX,"34,967",17.0,48,129,441,725,12.9,21.1,199,151,247,26.8,20.3,33.3,135,102,168,25.1,19.1,31.1,"31,672","38,262"
Duval County,TX,"30,365",26.9,48,131,"2,287","3,701",20.6,33.2,"1,165",890,"1,440",38.5,29.4,47.6,788,602,974,35.9,27.5,44.3,"27,424","33,306"
Eastland County,TX,"32,913",22.4,48,133,"3,239","4,721",18.2,26.6,"1,318","1,013","1,623",32.5,25.0,40.0,887,681,"1,093",30.1,23.1,37.1,"30,298","35,528"
Ector County,TX,"42,339",19.6,48,135,"23,118","29,814",17.1,22.1,"11,138","9,550","12,726",28.3,24.3,32.3,"7,111","5,940","8,282",26.0,21.7,30.3,"39,385","45,293"
Edwards County,TX,"32,643",25.3,48,137,395,609,19.9,30.7,163,124,202,39.8,30.2,49.4,114,87,141,38.3,29.2,47.4,"29,460","35,826"
Ellis County,TX,"57,929",11.5,48,139,"14,258","19,866",9.6,13.4,"7,321","5,885","8,757",17.1,13.7,20.5,"4,951","4,034","5,868",15.6,12.7,18.5,"54,840","61,018"
El Paso County,TX,"36,064",24.6,48,141,"179,268","208,384",22.8,26.4,"80,844","73,683","88,005",33.8,30.8,36.8,"57,822","52,634","63,010",33.1,30.1,36.1,"34,989","37,139"
Erath County,TX,"38,068",18.5,48,143,"5,479","7,857",15.2,21.8,"1,957","1,530","2,384",23.7,18.5,28.9,"1,313","1,018","1,608",22.4,17.4,27.4,"35,024","41,112"
Falls County,TX,"30,576",25.3,48,145,"3,187","4,793",20.2,30.4,"1,235",954,"1,516",32.4,25.0,39.8,869,677,"1,061",31.6,24.6,38.6,"28,113","33,039"
Fannin County,TX,"40,891",16.2,48,147,"3,907","6,103",12.6,19.8,"1,768","1,350","2,186",24.1,18.4,29.8,"1,190",912,"1,468",22.2,17.0,27.4,"37,516","44,266"
Fayette County,TX,"45,123",13.0,48,149,"2,442","3,830",10.1,15.9,"1,043",804,"1,282",19.7,15.2,24.2,708,545,871,18.1,13.9,22.3,"41,026","49,220"
Fisher County,TX,"35,794",14.6,48,151,435,711,11.1,18.1,207,157,257,23.5,17.8,29.2,143,108,178,21.8,16.5,27.1,"32,396","39,192"
Floyd County,TX,"33,345",21.0,48,153,"1,031","1,639",16.2,25.8,627,484,770,34.5,26.7,42.3,430,333,527,32.2,24.9,39.5,"30,117","36,573"
Foard County,TX,"31,479",18.2,48,155,183,293,14.0,22.4,83,63,103,29.1,22.2,36.0,58,44,72,25.8,19.7,31.9,"28,418","34,540"
Fort Bend County,TX,"76,758",9.0,48,157,"46,600","58,832",8.0,10.0,"21,654","18,695","24,613",12.5,10.8,14.2,"14,551","12,419","16,683",11.2,9.6,12.8,"73,985","79,531"
Franklin County,TX,"40,579",15.9,48,159,"1,271","2,061",12.1,19.7,649,492,806,25.3,19.2,31.4,439,333,545,23.5,17.9,29.1,"36,838","44,320"
Freestone County,TX,"42,266",18.1,48,161,"2,675","3,927",14.7,21.5,"1,073",846,"1,300",23.7,18.7,28.7,720,565,875,21.8,17.1,26.5,"38,297","46,235"
Frio County,TX,"30,820",35.3,48,163,"3,827","5,997",27.5,43.1,"1,776","1,385","2,167",42.7,33.3,52.1,"1,194",928,"1,460",40.1,31.2,49.0,"27,967","33,673"
Gaines County,TX,"39,111",18.8,48,165,"2,599","3,961",14.9,22.7,"1,619","1,265","1,973",26.6,20.8,32.4,"1,130",882,"1,378",26.5,20.7,32.3,"35,386","42,836"
Galveston County,TX,"57,124",13.0,48,167,"32,297","42,745",11.2,14.8,"14,339","11,880","16,798",19.5,16.1,22.9,"9,794","8,200","11,388",18.4,15.4,21.4,"53,846","60,402"
Garza County,TX,"38,400",27.4,48,169,907,"1,475",20.8,34.0,354,270,438,30.0,22.8,37.2,234,178,290,28.6,21.7,35.5,"34,639","42,161"
Gillespie County,TX,"47,216",12.1,48,171,"2,294","3,608",9.4,14.8,"1,001",774,"1,228",20.1,15.5,24.7,670,513,827,17.9,13.7,22.1,"42,898","51,534"
Glasscock County,TX,"54,354",11.2,48,173,105,171,8.5,13.9,64,48,80,18.2,13.8,22.6,44,33,55,16.1,12.2,20.0,"49,099","59,609"
Goliad County,TX,"42,646",15.5,48,175,846,"1,356",11.9,19.1,404,309,499,25.3,19.3,31.3,274,209,339,22.5,17.2,27.8,"38,816","46,476"
Gonzales County,TX,"34,166",20.8,48,177,"3,194","4,928",16.4,25.2,"1,670","1,278","2,062",31.7,24.3,39.1,"1,129",862,"1,396",30.2,23.0,37.4,"31,012","37,320"
Gray County,TX,"42,701",15.4,48,179,"2,473","3,925",11.9,18.9,"1,181",893,"1,469",21.6,16.3,26.9,804,609,999,20.9,15.8,26.0,"38,776","46,626"
Grayson County,TX,"44,356",14.9,48,181,"14,786","20,604",12.4,17.4,"6,143","4,820","7,466",21.4,16.8,26.0,"4,124","3,236","5,012",19.8,15.5,24.1,"41,293","47,419"
Gregg County,TX,"41,623",20.5,48,183,"21,481","26,767",18.3,22.7,"9,084","7,896","10,272",29.8,25.9,33.7,"6,029","5,152","6,906",28.1,24.0,32.2,"39,241","44,005"
Grimes County,TX,"39,959",19.7,48,185,"3,667","5,641",15.5,23.9,"1,644","1,284","2,004",27.5,21.5,33.5,"1,122",879,"1,365",25.5,20.0,31.0,"36,340","43,578"
Guadalupe County,TX,"58,799",11.4,48,187,"12,161","17,427",9.4,13.4,"6,245","4,957","7,533",17.3,13.7,20.9,"4,328","3,454","5,202",16.1,12.9,19.3,"55,585","62,013"
Hale County,TX,"35,640",20.3,48,189,"5,451","8,125",16.3,24.3,"2,985","2,341","3,629",28.9,22.7,35.1,"2,037","1,580","2,494",27.9,21.7,34.1,"32,584","38,696"
Hall County,TX,"29,302",24.1,48,191,618,974,18.7,29.5,338,257,419,40.3,30.7,49.9,235,179,291,37.4,28.5,46.3,"26,469","32,135"
Hamilton County,TX,"38,179",16.2,48,193,"1,004","1,672",12.2,20.2,485,366,604,27.3,20.6,34.0,337,255,419,25.8,19.5,32.1,"35,983","40,375"
Hansford County,TX,"43,338",14.3,48,195,621,967,11.2,17.4,343,265,421,20.4,15.8,25.0,232,180,284,18.9,14.6,23.2,"39,290","47,386"
Hardeman County,TX,"33,640",22.9,48,197,777,"1,113",18.8,27.0,351,283,419,35.2,28.4,42.0,227,180,274,31.0,24.5,37.5,"30,385","36,895"
Hardin County,TX,"49,556",13.0,48,199,"5,753","8,321",10.6,15.4,"2,449","1,902","2,996",17.6,13.7,21.5,"1,630","1,257","2,003",16.0,12.3,19.7,"45,375","53,737"
Harris County,TX,"50,437",18.7,48,201,"733,225","784,607",18.1,19.3,"308,583","296,598","320,568",27.1,26.0,28.2,"204,905","195,621","214,189",25.6,24.4,26.8,"49,904","50,970"
Harrison County,TX,"44,506",17.3,48,203,"9,079","13,183",14.1,20.5,"4,259","3,309","5,209",25.6,19.9,31.3,"2,882","2,218","3,546",24.1,18.6,29.6,"40,685","48,327"
Hartley County,TX,"57,589",11.9,48,205,432,680,9.2,14.6,173,134,212,12.7,9.8,15.6,121,94,148,11.9,9.2,14.6,"52,186","62,992"
Haskell County,TX,"30,845",25.5,48,207,"1,038","1,680",19.5,31.5,466,355,577,39.4,30.0,48.8,313,236,390,35.8,27.0,44.6,"27,882","33,808"
Hays County,TX,"57,051",14.4,48,209,"18,712","24,848",12.4,16.4,"5,493","4,162","6,824",14.4,10.9,17.9,"3,790","2,907","4,673",13.7,10.5,16.9,"53,855","60,247"
Hemphill County,TX,"55,391",9.2,48,211,266,422,7.1,11.3,146,111,181,13.3,10.1,16.5,99,75,123,12.8,9.7,15.9,"49,969","60,813"
Henderson County,TX,"37,137",19.3,48,213,"12,439","17,301",16.2,22.4,"5,388","4,343","6,433",30.7,24.8,36.6,"3,446","2,721","4,171",26.7,21.1,32.3,"34,955","39,319"
Hidalgo County,TX,"33,070",33.4,48,215,"241,147","274,983",31.2,35.6,"119,946","111,539","128,353",44.8,41.7,47.9,"86,167","80,392","91,942",44.6,41.6,47.6,"31,579","34,561"
Hill County,TX,"38,583",17.1,48,217,"4,604","7,104",13.4,20.8,"2,259","1,746","2,772",27.1,21.0,33.2,"1,512","1,164","1,860",25.0,19.2,30.8,"35,503","41,663"
Hockley County,TX,"40,334",19.1,48,219,"3,349","5,099",15.1,23.1,"1,584","1,216","1,952",26.1,20.0,32.2,"1,090",839,"1,341",25.1,19.3,30.9,"36,587","44,081"
Hood County,TX,"52,633",11.9,48,221,"4,802","7,226",9.5,14.3,"2,121","1,652","2,590",19.8,15.4,24.2,"1,484","1,171","1,797",19.1,15.1,23.1,"49,054","56,212"
Hopkins County,TX,"40,446",18.0,48,223,"5,110","7,380",14.7,21.3,"2,525","2,026","3,024",28.4,22.8,34.0,"1,732","1,394","2,070",26.9,21.7,32.1,"37,424","43,468"
Houston County,TX,"33,198",23.7,48,225,"3,859","6,021",18.5,28.9,"1,565","1,202","1,928",32.7,25.1,40.3,"1,068",816,"1,320",31.2,23.8,38.6,"30,172","36,224"
Howard County,TX,"39,022",22.9,48,227,"5,227","8,015",18.1,27.7,"2,340","1,825","2,855",30.6,23.9,37.3,"1,534","1,188","1,880",28.5,22.1,34.9,"35,554","42,490"
Hudspeth County,TX,"26,993",29.5,48,229,794,"1,212",23.4,35.6,434,333,535,41.7,32.0,51.4,298,228,368,37.6,28.8,46.4,"24,509","29,477"
Hunt County,TX,"41,841",20.0,48,231,"14,682","19,070",17.4,22.6,"5,883","4,890","6,876",28.0,23.3,32.7,"3,930","3,230","4,630",25.6,21.0,30.2,"38,818","44,864"
Hutchinson County,TX,"46,035",13.4,48,233,"2,314","3,540",10.6,16.2,"1,126",877,"1,375",19.9,15.5,24.3,729,562,896,17.8,13.7,21.9,"42,292","49,778"
Irion County,TX,"52,857",9.6,48,235,117,191,7.3,11.9,55,42,68,14.5,11.0,18.0,37,28,46,12.2,9.2,15.2,"47,765","57,949"
Jack County,TX,"41,510",15.5,48,237,940,"1,494",12.0,19.0,400,304,496,20.4,15.5,25.3,264,200,328,17.9,13.6,22.2,"37,851","45,169"
Jackson County,TX,"42,097",16.2,48,239,"1,788","2,680",13.0,19.4,887,710,"1,064",25.3,20.2,30.4,628,510,746,25.3,20.6,30.0,"38,137","46,057"
Jasper County,TX,"37,495",19.5,48,241,"5,506","8,024",15.9,23.1,"2,557","2,025","3,089",29.2,23.1,35.3,"1,718","1,349","2,087",27.1,21.3,32.9,"34,331","40,659"
Jeff Davis County,TX,"46,122",12.1,48,243,210,334,9.3,14.9,73,56,90,18.5,14.2,22.8,50,38,62,16.5,12.7,20.3,"42,181","50,063"
Jefferson County,TX,"39,756",22.6,48,245,"48,068","58,836",20.3,24.9,"19,816","17,502","22,130",33.5,29.6,37.4,"12,327","10,524","14,130",29.3,25.0,33.6,"37,200","42,312"
Jim Hogg County,TX,"34,077",24.8,48,247,996,"1,624",18.9,30.7,566,428,704,36.8,27.9,45.7,391,298,484,36.2,27.6,44.8,"30,772","37,382"
Jim Wells County,TX,"36,404",21.6,48,249,"6,830","10,676",16.8,26.4,"3,775","2,890","4,660",32.5,24.9,40.1,"2,597","1,989","3,205",31.3,24.0,38.6,"33,702","39,106"
Johnson County,TX,"52,360",12.8,48,251,"15,902","21,932",10.8,14.8,"7,383","5,937","8,829",18.2,14.6,21.8,"5,173","4,150","6,196",17.4,14.0,20.8,"50,161","54,559"
Jones County,TX,"35,193",24.3,48,253,"2,819","4,585",18.5,30.1,"1,097",829,"1,365",29.9,22.6,37.2,764,581,947,28.1,21.4,34.8,"32,318","38,068"
Karnes County,TX,"34,970",26.3,48,255,"2,300","3,752",20.0,32.6,982,748,"1,216",33.3,25.4,41.2,666,511,821,31.4,24.1,38.7,"32,310","37,630"
Kaufman County,TX,"56,899",11.9,48,257,"10,020","14,410",9.8,14.0,"5,105","4,071","6,139",17.3,13.8,20.8,"3,398","2,680","4,116",15.7,12.4,19.0,"53,892","59,906"
Kendall County,TX,"68,301",10.0,48,259,"2,616","4,000",7.9,12.1,"1,142",879,"1,405",14.2,10.9,17.5,768,593,943,12.3,9.5,15.1,"63,192","73,410"
Kenedy County,TX,"33,502",12.5,48,261,40,64,9.5,15.5,18,14,22,17.6,13.4,21.8,12,9,15,16.0,12.2,19.8,"30,188","36,816"
Kent County,TX,"37,318",11.2,48,263,64,104,8.6,13.8,29,22,36,16.8,12.7,20.9,20,15,25,14.7,11.1,18.3,"33,764","40,872"
Kerr County,TX,"42,064",15.6,48,265,"5,980","8,954",12.5,18.7,"2,738","2,126","3,350",28.1,21.8,34.4,"1,874","1,466","2,282",26.3,20.6,32.0,"39,335","44,793"
Kimble County,TX,"36,126",18.6,48,267,649,"1,047",14.2,23.0,314,239,389,33.7,25.6,41.8,217,165,269,31.1,23.7,38.5,"32,800","39,452"
King County,TX,"48,003",12.5,48,269,27,45,9.5,15.5,11,8,14,15.3,11.5,19.1,8,6,10,14.8,11.3,18.3,"43,266","52,740"
Kinney County,TX,"35,725",24.7,48,271,635,975,19.5,29.9,267,211,323,36.8,29.1,44.5,179,140,218,33.9,26.6,41.2,"32,297","39,153"
Kleberg County,TX,"37,418",24.6,48,273,"5,967","8,923",19.7,29.5,"2,613","2,013","3,213",32.8,25.3,40.3,"1,772","1,368","2,176",32.8,25.3,40.3,"33,920","40,916"
Knox County,TX,"31,054",22.3,48,275,623,991,17.2,27.4,332,253,411,35.7,27.2,44.2,230,176,284,35.0,26.8,43.2,"28,083","34,025"
Lamar County,TX,"38,852",18.4,48,277,"7,377","10,647",15.1,21.7,"3,263","2,566","3,960",27.4,21.5,33.3,"2,230","1,746","2,714",25.6,20.1,31.1,"35,649","42,055"
Lamb County,TX,"34,251",21.6,48,279,"2,352","3,610",17.0,26.2,"1,325","1,031","1,619",32.7,25.5,39.9,869,680,"1,058",29.8,23.3,36.3,"31,409","37,093"
Lampasas County,TX,"47,772",15.3,48,281,"2,311","3,637",11.9,18.7,"1,276",978,"1,574",26.7,20.4,33.0,881,682,"1,080",24.9,19.3,30.5,"43,237","52,307"
La Salle County,TX,"28,834",34.4,48,283,"1,380","2,260",26.1,42.7,652,495,809,44.9,34.1,55.7,446,340,552,43.0,32.8,53.2,"26,046","31,622"
Lavaca County,TX,"39,468",14.5,48,285,"2,142","3,328",11.3,17.7,916,706,"1,126",20.9,16.1,25.7,635,491,779,20.1,15.5,24.7,"35,835","43,101"
Lee County,TX,"45,661",13.1,48,287,"1,624","2,596",10.1,16.1,747,556,938,18.3,13.6,23.0,505,379,631,16.7,12.5,20.9,"41,513","49,809"
Leon County,TX,"40,847",14.4,48,289,"1,840","2,950",11.1,17.7,925,701,"1,149",25.1,19.0,31.2,646,490,802,24.3,18.4,30.2,"37,046","44,648"
Liberty County,TX,"46,770",18.8,48,291,"10,772","15,766",15.3,22.3,"4,909","3,904","5,914",25.7,20.4,31.0,"3,308","2,570","4,046",23.9,18.6,29.2,"43,092","50,448"
Limestone County,TX,"37,438",19.0,48,293,"3,202","5,094",14.7,23.3,"1,557","1,189","1,925",28.8,22.0,35.6,"1,056",806,"1,306",27.3,20.9,33.7,"34,042","40,834"
Lipscomb County,TX,"46,347",13.3,48,295,329,529,10.2,16.4,182,139,225,20.6,15.8,25.4,125,96,154,19.7,15.1,24.3,"41,958","50,736"
Live Oak County,TX,"39,091",18.6,48,297,"1,469","2,395",14.1,23.1,648,492,804,27.8,21.1,34.5,447,340,554,25.5,19.4,31.6,"35,643","42,539"
Llano County,TX,"40,102",15.8,48,299,"2,358","3,652",12.4,19.2,914,712,"1,116",30.4,23.7,37.1,603,463,743,27.6,21.2,34.0,"36,604","43,600"
Loving County,TX,"50,188",14.5,48,301,9,15,11.0,18.0,4,3,5,33.3,25.1,41.5,3,2,4,75.0,57.1,92.9,"45,174","55,202"
Lubbock County,TX,"41,757",20.8,48,303,"51,313","60,821",19.0,22.6,"18,456","15,929","20,983",27.6,23.8,31.4,"11,473","9,483","13,463",24.5,20.3,28.7,"39,850","43,664"
Lynn County,TX,"36,145",19.7,48,305,888,"1,416",15.2,24.2,490,370,610,30.4,23.0,37.8,338,257,419,28.7,21.8,35.6,"32,815","39,475"
McCulloch County,TX,"32,469",22.2,48,307,"1,380","2,212",17.1,27.3,741,563,919,37.8,28.7,46.9,496,378,614,34.4,26.2,42.6,"29,316","35,622"
McLennan County,TX,"39,620",21.3,48,309,"43,901","52,659",19.4,23.2,"17,173","14,941","19,405",29.4,25.6,33.2,"11,275","9,602","12,948",26.9,22.9,30.9,"37,329","41,911"
McMullen County,TX,"44,541",11.9,48,311,64,104,9.1,14.7,23,17,29,19.2,14.2,24.2,16,12,20,17.4,12.8,22.0,"40,175","48,907"
Madison County,TX,"35,189",23.3,48,313,"2,047","3,175",18.3,28.3,900,695,"1,105",30.2,23.3,37.1,626,489,763,29.0,22.6,35.4,"31,986","38,392"
Marion County,TX,"32,173",23.7,48,315,"2,003","2,875",19.5,27.9,698,552,844,35.4,28.0,42.8,474,372,576,33.2,26.1,40.3,"29,123","35,223"
Martin County,TX,"44,863",16.2,48,317,591,951,12.4,20.0,352,265,439,24.0,18.1,29.9,237,179,295,22.3,16.9,27.7,"40,614","49,112"
Mason County,TX,"38,802",16.2,48,319,496,802,12.4,20.0,261,199,323,30.6,23.3,37.9,182,140,224,28.0,21.5,34.5,"35,077","42,527"
Matagorda County,TX,"39,874",19.9,48,321,"5,789","8,633",16.0,23.8,"2,720","2,111","3,329",28.4,22.1,34.7,"1,811","1,404","2,218",25.8,20.0,31.6,"36,326","43,422"
Maverick County,TX,"27,710",39.9,48,323,"18,879","23,753",35.3,44.5,"9,705","8,389","11,021",53.2,46.0,60.4,"6,614","5,631","7,597",48.9,41.6,56.2,"25,561","29,859"
Medina County,TX,"47,099",17.5,48,325,"6,129","9,221",14.0,21.0,"3,174","2,533","3,815",27.1,21.6,32.6,"2,152","1,706","2,598",24.6,19.5,29.7,"43,693","50,505"
Menard County,TX,"30,277",24.0,48,327,412,646,18.7,29.3,183,139,227,40.9,31.0,50.8,130,99,161,40.9,31.0,50.8,"27,338","33,216"
